,index,Date,Open,High,Low,Close,Volume,Slope,Intercept,Upper_Deviation,Lower_Deviation,Correlation,HH,LL,K,D,Crossover,VZO
89,104,2023-03-30 20:45:00-05:00,1803.56,1804.04,1800.21,1802.79,202.5897,-0.07676273627362734,1798.0164554455448,1818.172107745492,1777.8608031455976,0.4350863317320657,1817.41,1781.95,58.77044557247574,67.29648430156008,0,8.571685744191209
90,105,2023-03-30 21:00:00-05:00,1802.55,1804.38,1800.46,1800.47,130.6145,-0.07800954095409539,1798.2225722772278,1818.3481296547907,1778.0970148996648,0.4425196639699011,1817.41,1781.95,52.22786238014654,57.80221846211668,0,2.3985501774406655
91,106,2023-03-30 21:15:00-05:00,1799.75,1804.21,1799.2,1803.85,111.4151,-0.07422778277827778,1798.1608752475247,1818.3656710018686,1777.9560794931808,0.4511552877671287,1817.41,1781.95,61.759729272419186,57.58601240834715,1,7.571019558287082
92,107,2023-03-30 21:30:00-05:00,1804.42,1804.61,1801.91,1802.62,124.9148,-0.0727576357635765,1798.224902970297,1818.4631823757438,1777.9866235648503,0.4504615906882269,1817.41,1786.3,52.459016393442205,55.48220268200265,-1,0.6693125572720409
93,108,2023-03-30 21:45:00-05:00,1802.83,1805.72,1801.4,1803.05,83.8199,-0.06969318931893186,1798.1895128712868,1818.486992528733,1777.8920332138405,0.4490200891440861,1817.41,1789.52,48.5120114736462,54.2435857131692,0,5.370101314537217
94,109,2023-03-30 22:00:00-05:00,1803.39,1804.85,1802.22,1804.0,92.8208,-0.06397365736573668,1797.995396039604,1818.3771330924887,1777.6136589867192,0.44556178600403706,1817.41,1789.61,51.76258992805758,50.91120593171533,1,10.765999181127137
95,110,2023-03-30 22:15:00-05:00,1803.89,1806.92,1803.23,1806.57,66.2418,-0.04622208220822102,1797.056293069307,1817.2601480979943,1776.8524380406197,0.41737241540935854,1817.41,1789.61,61.007194244604044,53.76059854876927,0,14.767960880305964
96,111,2023-03-30 22:30:00-05:00,1806.12,1808.92,1804.82,1805.79,75.1942,-0.021952295229523106,1795.6727386138616,1815.125791324364,1776.2196859033593,0.3190147259165743,1817.41,1789.61,58.201438848920716,56.99040767386078,0,8.400393156657074
97,112,2023-03-30 22:45:00-05:00,1804.82,1805.12,1803.1,1803.1,38.7237,-0.0036739873987400103,1794.6349623762376,1813.662637636715,1775.60728711576,0.22722950481209797,1817.41,1799.2,21.41680395387071,46.87514568246516,-1,4.940702403793953
98,113,2023-03-30 23:00:00-05:00,1802.91,1803.54,1799.86,1800.5,143.74,-0.008938193819382139,1795.1021405940598,1813.9364006849612,1776.2678805031585,0.3837303627445375,1817.41,1799.2,7.138934651290235,28.919059151360553,0,-7.679166019963252
99,114,2023-03-30 23:15:00-05:00,1800.66,1802.66,1799.86,1802.66,44.5968,-0.011373237323732502,1795.4212752475248,1814.168891511892,1776.6736589831576,0.4546113951389522,1817.41,1799.2,19.00054914881949,15.852095917993479,1,-3.234788921906843
100,115,2023-03-30 23:30:00-05:00,1802.6,1805.2,1801.87,1804.15,53.0146,-0.01091905190519058,1795.575293069307,1814.3372994835174,1776.8132866550966,0.4733711246801734,1814.58,1799.2,32.184655396619526,19.44137973224308,0,2.2965323603229932
